ssvid,eez,year,flag_iso3,fishing_hours,eez_iso3
416002481,8321,2019,TWN,203.65583333333336,TWN
416002481,NA,2019,TWN,1356.8877777777777,high_seas
416002481,8315,2019,TWN,2419.8936111111116,PLW
416002481,8486,2019,TWN,26.97638888888889,CHN
416000392,NA,2020,TWN,515.111388888889,high_seas
412460004,8445,2019,CHN,75.07777777777781,WSM
412460004,8446,2019,CHN,5619.591388888889,NZL
431680730,8315,2018,JPN,2605.8333333333335,PLW
431680730,NA,2018,JPN,20.553611111111113,high_seas
416002142,8315,2018,TWN,978.7891666666668,PLW
416002142,8487,2018,TWN,6.4225,JPN
416002142,NA,2018,TWN,2101.704722222222,high_seas
367084000,8324,2020,USA,7.661111111111111,PNG
431128000,NA,2020,JPN,201.79277777777781,high_seas
431128000,8316,2020,JPN,261.6369444444446,FSM
431128000,8324,2020,JPN,738.731666666667,PNG
431128000,8318,2020,JPN,21.411666666666683,MHL
431128000,8317,2020,JPN,14.416944444444447,NRU
416002989,48957,2020,TWN,1.2830555555555556,USA
416002989,8315,2020,TWN,1.3933333333333333,PLW
416002989,NA,2020,TWN,3669.1258333333335,high_seas
416002989,8316,2020,TWN,1092.8750000000002,FSM
431680310,NA,2019,JPN,530.4577777777777,high_seas
431680310,8487,2019,JPN,234.24222222222224,JPN
416216900,8321,2024,TWN,210.64388888888885,TWN
416216900,8486,2024,TWN,4.0327777777777785,CHN
416001619,8487,2014,TWN,3.4513888888888897,JPN
416001619,8321,2014,TWN,2.0341666666666667,TWN
416001619,NA,2014,TWN,56.27666666666667,high_seas
416003933,8321,2021,TWN,276.49372500000004,TWN
416003933,NA,2021,TWN,1319.4352777777779,high_seas
416003933,8322,2021,TWN,0.5160222222222223,PHL
416003933,8486,2021,TWN,1.483652777777778,CHN
416002222,NA,2021,TWN,1917.7482277752804,high_seas
416002222,8487,2021,TWN,54.087941666666666,JPN
416002222,8321,2021,TWN,44.136438888888875,TWN
416002222,48954,2021,TWN,60.91333888888889,TWN
200023459,NA,2019,TWN,2738.931944444445,high_seas
200023459,8315,2019,TWN,2.331111111111111,PLW
431680230,8487,2024,JPN,85.1477777777778,JPN
431601317,NA,2022,JPN,1255.50835525,high_seas
431601317,8487,2022,JPN,149.310625,JPN
416002174,8321,2023,TWN,85.37333333333335,TWN
416002174,8486,2023,TWN,42.795833333333334,CHN
416002174,8487,2023,TWN,7.267222222222221,JPN
416002174,NA,2023,TWN,2609.876388888889,high_seas
412420276,8480,2019,CHN,146.46305555555554,IND
412420276,NA,2019,CHN,3681.4033333333327,high_seas
412420276,8492,2019,CHN,24.53222222222223,IDN
412420276,8333,2019,CHN,11.29111111111111,IND
