filepath,valid_sci_name,iucn_weight,ED,FD,spp_weight
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_glauca.tif,Acropora glauca,0.25,0.0058406601721972306,0.437106709842823,0.11073684250375507
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_globiceps.tif,Acropora globiceps,0.5,0.01206789916921054,0.293637901333619,0.15285290025141476
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_grandis.tif,Acropora grandis,0.1,0.015698464445752396,0.194971153384183,0.02106696178299354
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_granulosa.tif,Acropora granulosa,0.25,0.010045976203789265,0.26860258976435,0.06966214149203481
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_halmaherae.tif,Acropora halmaherae,0.25,0.011017474193232733,0.292595965064805,0.07590335981450944
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_hemprichii.tif,Acropora hemprichii,0.5,0.01786625942507193,0.182227287341903,0.10004677338348747
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_hoeksemai.tif,Acropora hoeksemai,0.5,0.00866779052247984,0.198193353117765,0.10343057182012243
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_horrida.tif,Acropora horrida,0.5,0.015606533474538315,0.391233436640917,0.20341998505772765
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_humilis.tif,Acropora humilis,0.25,0.01206789916921054,0.270443677602531,0.07062789419293539
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_hyacinthus.tif,Acropora hyacinthus,0.25,0.00646465922004724,0.258994526080205,0.06636479632506306
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_jacquelineae.tif,Acropora jacquelineae,0.5,0.01572851216513051,0.235914914497374,0.12582171333125225
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_japonica.tif,Acropora japonica,0.25,0.010734597513225707,0.286291133634711,0.07425643278698417
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_kimbeensis.tif,Acropora kimbeensis,0.5,0.005346642520576032,0.19218878404402,0.09876771328229803
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_kirstyae.tif,Acropora kirstyae,0.5,0.011130209402788936,0.198677273242535,0.10490374132266198
/Users/juanmayorga/Google Drive File Stream/Shared drives/emlab/projects/current-projects/ocean-conservation-priorities/data/02_processed/species_distributions/aquamaps/Acropora_kosurini.tif,Acropora kosurini,0.5,0.008470771991871361,0.227984977552561,0.11822787477221618
