lat,lon,ais_reception_positions_per_day_class_A,ais_reception_positions_per_day_class_B
-90,-32,614.196810780736,190.645950386123
-90,-31,614.162471472631,190.665702633587
-90,-30,614.131852820995,190.685544440383
-90,-29,614.104974680217,190.705436469189
-90,-28,614.081800331037,190.725338366399
-90,-27,614.06224039765,190.745208540043
-90,-26,614.046157850453,190.765004020926
-90,-25,614.033373921365,190.784680405761
-90,-24,614.023674779708,190.804191879972
-90,-23,614.016818839759,190.823491316929
-90,-22,614.012544587365,190.842530450412
-90,-21,614.010578814159,190.861260115785
-90,-20,614.010645132126,190.879630555253
-90,-19,614.01247260064,190.897591781833
-90,-18,614.015804238339,190.915093995608
-90,-17,614.0204051168,190.932088045492
-90,-16,614.026069656164,190.948525928067
-90,-15,614.032627679806,190.964361314732
-90,-14,614.039948758816,190.979550096826
-90,-13,614.047944400478,190.994050937691
-90,-12,614.056567725835,191.007825819662
-90,-11,614.065810436294,191.02084057328
-90,-10,614.075697075979,191.03306537548
-90,-9,614.086276830399,191.044475203525
-90,-8,614.097613329537,191.055050231593
-90,-7,614.109773107612,191.064776157275
-90,-6,614.122813491732,191.073644446961
-90,-5,614.136770732178,191.081652489706
-90,-4,614.151649152891,191.088803651874
-90,-3,614.16741201053,191.095107226489
-90,-2,614.183974624727,191.1005782745
-90,-1,614.201200202342,191.105237357374
-90,0,614.218898640022,191.109110164356
-90,1,614.236828454061,191.112227039991
-90,2,614.254701853798,191.114622421282
-90,3,614.272192832729,191.116334196651
-90,4,614.288947998988,191.117403001582
-90,5,614.304599696268,191.117871467951
-90,6,614.318780792748,191.117783446417
-90,7,614.331140348134,191.11718322205
-90,8,614.34135924033,191.116114744314
-90,9,614.349164762541,191.114620892514
-90,10,614.35434321728,191.112742797108
-90,11,614.3567496461,191.110519235774
-90,12,614.356314043914,191.107986121383
-90,13,614.353043692972,191.105176096204
-90,14,614.347021584396,191.102118243501
-90,15,614.338401227584,191.098837924308
-90,16,614.327398440264,191.095356743153
-90,17,614.31428092254,191.09169264263
-90,18,614.299356528721,191.087860122689
-90,19,614.282961152214,191.083870576406
-90,20,614.26544704297,191.079732730724
-90,21,614.247172209352,191.075453177076
-90,22,614.228491342854,191.071036974272
-90,23,614.209748482388,191.06648830361
-90,24,614.191271426635,191.061811154938
-90,25,614.173367733191,191.057010021508
-90,26,614.156322023244,191.052090581291
-90,27,614.140394246768,191.047060343122
-90,28,614.125818553092,191.041929237426
-90,29,614.112802450366,191.036710133385
-90,30,614.101526013077,191.031419266309
-90,31,614.092140996,191.026076562719
-90,32,614.084769821687,191.020705853205
-90,33,614.079504511186,191.015334967253
-90,34,614.076405711724,191.00999570694
-90,35,614.075502028808,191.004723701036
-90,36,614.076789890712,190.999558143377
-90,37,614.080234154797,190.99454142339
-90,38,614.085769617255,190.989718658757
-90,39,614.093303513688,190.985137143185
