forecast_horizon,scenario,mpa_coverage,fishing_hours,observed,fishing_hours_millions
0,Sala et al. 2021 multi-objective,MPA coverage: 20%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 multi-objective,MPA coverage: 30%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 carbon,MPA coverage: 3%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 carbon,MPA coverage: 5%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 carbon,MPA coverage: 10%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 carbon,MPA coverage: 16%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 carbon,MPA coverage: 20%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 carbon,MPA coverage: 30%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 biodiversity,MPA coverage: 3%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 biodiversity,MPA coverage: 5%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 biodiversity,MPA coverage: 10%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 biodiversity,MPA coverage: 16%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 biodiversity,MPA coverage: 20%,51451112.55494318,Observed,51.45111255494318
0,Sala et al. 2021 biodiversity,MPA coverage: 30%,51451112.55494318,Observed,51.45111255494318
0,Protecting most-fished pixels,MPA coverage: 3%,51451112.55494318,Observed,51.45111255494318
0,Protecting most-fished pixels,MPA coverage: 5%,51451112.55494318,Observed,51.45111255494318
0,Protecting most-fished pixels,MPA coverage: 10%,51451112.55494318,Observed,51.45111255494318
0,Protecting most-fished pixels,MPA coverage: 16%,51451112.55494318,Observed,51.45111255494318
0,Protecting most-fished pixels,MPA coverage: 20%,51451112.55494318,Observed,51.45111255494318
0,Protecting most-fished pixels,MPA coverage: 30%,51451112.55494318,Observed,51.45111255494318
