shapley_value,observed_data,variable_name_code,variable_name
0.2841050315506243,68,lon,Longitude
0.05914159862209635,177,lon,Longitude
-0.055079416226289014,-61,lon,Longitude
-0.04810191442704391,-16,lon,Longitude
0.026520200220710603,-79,lon,Longitude
-0.030357564242726967,-28,lon,Longitude
0.13291632245674306,150,lon,Longitude
-0.2374914104922263,-97,lon,Longitude
-0.08471616272944668,-115,lon,Longitude
-0.17456990637553751,-109,lon,Longitude
0.05877922538251113,14,lon,Longitude
0.29513643697801156,175,lon,Longitude
0.3855174816585569,74,lon,Longitude
-0.22180261682356586,-113,lon,Longitude
0.029250241382490758,17,lon,Longitude
0.179472803025373,-164,lon,Longitude
0.029451837281496265,-152,lon,Longitude
-0.009345727233811982,-158,lon,Longitude
-0.08172070522298082,-167,lon,Longitude
-0.07129537285993838,-14,lon,Longitude
-0.28852903383406237,-134,lon,Longitude
-0.1233405180067055,-21,lon,Longitude
-0.03273959080147362,-18,lon,Longitude
-0.20093220362017022,169,lon,Longitude
-0.06768405136240459,-31,lon,Longitude
0.11313592679358292,-20,lon,Longitude
-0.16031353827353145,-88,lon,Longitude
0.02359301528271581,59,lon,Longitude
-0.05708976070572808,-23,lon,Longitude
-0.33300876474544877,-105,lon,Longitude
0.2509151524651974,43,lon,Longitude
-0.024149204626611732,135,lon,Longitude
-0.05350004944632108,-61,lon,Longitude
0.12241554225184255,-175,lon,Longitude
-0.15815433685352087,-175,lon,Longitude
-0.19089627986429794,2,lon,Longitude
-0.5158753026097407,171,lon,Longitude
0.004277564486628074,-10,lon,Longitude
-0.12514607571615943,-9,lon,Longitude
-0.22654657727110558,-175,lon,Longitude
0.18802821587610258,176,lon,Longitude
-0.00869523701831781,12,lon,Longitude
0.08061798958699677,141,lon,Longitude
0.032434683377209644,10,lon,Longitude
-0.11556410433937818,7,lon,Longitude
0.01734979792695556,7,lon,Longitude
0.26795845809864943,150,lon,Longitude
-0.12630933775881611,-97,lon,Longitude
0.4739596893260228,88,lon,Longitude
-0.27372895811302034,-39,lon,Longitude
0.05515548517077612,77,lon,Longitude
-0.15530951636846616,-37,lon,Longitude
0.07278131824210259,39,lon,Longitude
-0.6899783506066318,-120,lon,Longitude
0.5654043412690792,55,lon,Longitude
0.1679274923746554,141,lon,Longitude
-0.02593036197815791,-139,lon,Longitude
0.015102676056396555,59,lon,Longitude
-0.2343146578457766,-82,lon,Longitude
-0.08921961978888326,-85,lon,Longitude
0.024237449271017696,8,lon,Longitude
-0.2510118913028558,-133,lon,Longitude
-0.2126144757710594,-136,lon,Longitude
-0.15816562544443924,-122,lon,Longitude
0.02105937163864269,14,lon,Longitude
0.11631386949653036,169,lon,Longitude
0.10829457319084272,-157,lon,Longitude
0.20412416914582696,173,lon,Longitude
-0.21716733227623858,-125,lon,Longitude
-0.3920377982507974,-10,lon,Longitude
0.55967290291582,69,lon,Longitude
0.11572705908743128,-10,lon,Longitude
0.03504795278441968,-49,lon,Longitude
0.001600433270244358,14,lon,Longitude
-0.10193044323192059,-123,lon,Longitude
0.11653708193000796,145,lon,Longitude
0.10593230291809341,-46,lon,Longitude
-0.11693269054245195,-159,lon,Longitude
0.23263590790931973,130,lon,Longitude
0.29651217095537574,134,lon,Longitude
-0.1399835090916116,-140,lon,Longitude
-0.08910862228064534,70,lon,Longitude
0.008216326043743798,-39,lon,Longitude
0.11947050486136768,49,lon,Longitude
0.19090006815075264,111,lon,Longitude
0.016363884376582486,23,lon,Longitude
-0.0948840119591772,-139,lon,Longitude
-0.08850565811536415,-170,lon,Longitude
0.19441676565887525,142,lon,Longitude
0.10373352486543529,144,lon,Longitude
-0.22273367226259916,-140,lon,Longitude
0.06979185555981635,44,lon,Longitude
-0.24104577702573235,-137,lon,Longitude
0.020911174065832983,3,lon,Longitude
0.04942669105133785,-50,lon,Longitude
-0.0399038243237592,-76,lon,Longitude
-0.11623466250705887,-68,lon,Longitude
-0.10317128606717532,0,lon,Longitude
0.30486305753204634,74,lon,Longitude
0.23321205266426515,74,lon,Longitude
0.42919123881889587,58,lon,Longitude
-0.07403468243565858,-39,lon,Longitude
0.1325329791902897,-93,lon,Longitude
0.14545154543861802,121,lon,Longitude
-0.05552822390091286,-43,lon,Longitude
0.0371205134124405,-23,lon,Longitude
0.4620018131326104,90,lon,Longitude
-0.11424865562631971,-55,lon,Longitude
-0.43900808182083456,97,lon,Longitude
-0.0792642790446159,-49,lon,Longitude
-0.7110130558919174,-150,lon,Longitude
-0.07673643702446438,-44,lon,Longitude
-0.1704404719508634,-145,lon,Longitude
0.2044244357347729,174,lon,Longitude
0.03926303825488775,-123,lon,Longitude
-0.050160503551393024,-23,lon,Longitude
-0.046533726078302265,-112,lon,Longitude
0.08016066887993482,-98,lon,Longitude
-0.08079804184301068,1,lon,Longitude
0.09967901323528776,146,lon,Longitude
-0.734026750135182,-138,lon,Longitude
-0.1854140159186465,-93,lon,Longitude
-0.15349412147084118,-40,lon,Longitude
-0.036828304409800124,-21,lon,Longitude
-0.014741172120064417,-10,lon,Longitude
-0.03549713181473138,-89,lon,Longitude
-0.05359030311064931,-172,lon,Longitude
0.28324203022841016,176,lon,Longitude
0.0638478346042338,171,lon,Longitude
-0.0642273105087022,-127,lon,Longitude
0.08144075079579091,152,lon,Longitude
-0.17353443398942753,-32,lon,Longitude
-0.3421134838489109,-117,lon,Longitude
-0.06146069790099017,-21,lon,Longitude
0.23217499570236913,137,lon,Longitude
0.11386141469597634,50,lon,Longitude
-0.10737810415731859,-19,lon,Longitude
0.16444228910229405,72,lon,Longitude
-0.32068487496823256,-19,lon,Longitude
0.06872275411516274,123,lon,Longitude
-0.0687280093937127,-29,lon,Longitude
0.031746144293711746,32,lon,Longitude
-0.25737001840934115,169,lon,Longitude
0.2600750247288941,169,lon,Longitude
0.2366104981968107,147,lon,Longitude
-0.11801839517374761,-37,lon,Longitude
-0.22127024406519388,-35,lon,Longitude
0.3102184318616684,151,lon,Longitude
-0.1884811414152761,-91,lon,Longitude
-0.298696002838893,-91,lon,Longitude
-0.003522994000641895,8,lon,Longitude
-0.1272796002057291,-33,lon,Longitude
-0.1419479291105173,-54,lon,Longitude
0.11257754111425833,71,lon,Longitude
-0.2944324615145028,-142,lon,Longitude
-0.3116518105685204,-140,lon,Longitude
-0.12696936454542246,84,lon,Longitude
-0.13087892399329848,-168,lon,Longitude
0.2892420376285451,9,lon,Longitude
0.04210534275066757,100,lon,Longitude
0.20145299284571547,51,lon,Longitude
0.09470785168059251,-127,lon,Longitude
0.1950640979757255,170,lon,Longitude
-0.01868790445340891,-162,lon,Longitude
-0.15401827945600685,-38,lon,Longitude
0.5521302126790046,56,lon,Longitude
-0.1451863033583099,-134,lon,Longitude
-0.010611216550895319,-160,lon,Longitude
-0.14863281661008979,-34,lon,Longitude
-0.2269230397809878,-119,lon,Longitude
-0.15998635987210624,-124,lon,Longitude
0.06643956620557541,170,lon,Longitude
-0.10418626664006034,-107,lon,Longitude
0.13642219001728312,43,lon,Longitude
-0.04296836690710184,11,lon,Longitude
